CreatePlayer("hero", # resource name
 3, # health
 6, # ammo
 4, # score
 300, # x
 312, # y
 animStand, # start animation
 1); # looped animation

CreatePowerup("pwr_health", # resource name
pwrHealth, # powerup type
5, # powerup bonus count
80, # x
400); # y
CreatePowerup("pwr_ammo", pwrAmmo, 20, 150, 400);
CreatePowerup("pwr_score", pwrScore, 30, 600, 400);



# create map
# yeah, this sucks
# later, here will be `for { }` loop


CreateSprite("tile_wall_1", 0, 352);
CreateSprite("tile_wall_1", 163, 352);
CreateSprite("tile_wall_1", 326, 352);
CreateSprite("tile_wall_1", 489, 352);
CreateSprite("tile_wall_1", 652, 352);
CreateSprite("tile_wall_1", 815, 352);
CreateSprite("tile_wall_1", 978, 352);
CreateSprite("tile_wall_1", 1141, 352);
CreateSprite("tile_wall_1", 1304, 352);
CreateSprite("tile_wall_1", 1467, 352);

CreateSprite("tile_wall_lamp", 0, 204);
CreateSprite("tile_wall_lamp", 128, 204);
CreateSprite("tile_wall_lamp", 163, 204);
CreateSprite("tile_wall_lamp", 291, 204);
CreateSprite("tile_wall_lamp", 326, 204);
CreateSprite("tile_wall_lamp", 454, 204);
CreateSprite("tile_wall_lamp", 489, 204);
CreateSprite("tile_wall_lamp", 617, 204);
CreateSprite("tile_wall_lamp", 652, 204);
CreateSprite("tile_wall_lamp", 780, 204);
CreateSprite("tile_wall_lamp", 815, 204);
CreateSprite("tile_wall_lamp", 943, 204);
CreateSprite("tile_wall_lamp", 978, 204);
CreateSprite("tile_wall_lamp", 1106, 204);
CreateSprite("tile_wall_lamp", 1141, 204);
CreateSprite("tile_wall_lamp", 1269, 204);
CreateSprite("tile_wall_lamp", 1304, 204);
CreateSprite("tile_wall_lamp", 1432, 204);
CreateSprite("tile_wall_lamp", 1467, 204);
CreateSprite("tile_wall_lamp", 1595, 204);

CreateSprite("tile_wall_up", 35, 205);
CreateSprite("tile_wall_up", 198, 205);
CreateSprite("tile_wall_up", 361, 205);
CreateSprite("tile_wall_up", 524, 205);
CreateSprite("tile_wall_up", 687, 205);
CreateSprite("tile_wall_up", 850, 205);
CreateSprite("tile_wall_up", 1013, 205);
CreateSprite("tile_wall_up", 1176, 205);
CreateSprite("tile_wall_up", 1339, 205);
CreateSprite("tile_wall_up", 1502, 205);

CreateSprite("tile_column_1", 0, 244);
CreateSprite("tile_column_1", 128, 244);
CreateSprite("tile_column_1", 163, 244);
CreateSprite("tile_column_1", 291, 244);
CreateSprite("tile_column_1", 326, 244);
CreateSprite("tile_column_1", 454, 244);
CreateSprite("tile_column_1", 489, 244);
CreateSprite("tile_column_1", 617, 244);
CreateSprite("tile_column_1", 652, 244);
CreateSprite("tile_column_1", 780, 244);
CreateSprite("tile_column_1", 815, 244);
CreateSprite("tile_column_1", 943, 244);
CreateSprite("tile_column_1", 978, 244);
CreateSprite("tile_column_1", 1106, 244);
CreateSprite("tile_column_1", 1141, 244);
CreateSprite("tile_column_1", 1269, 244);
