23:16:36 Log started
23:16:36 appl. path:	c:\Source\cpp\OpenOrion\0.3.5\oorion
23:16:36 log path:	c:\Source\cpp\OpenOrion\0.3.5\oorion\log
23:16:36 config path:	c:\Source\cpp\OpenOrion\0.3.5\oorion\config\default.cfg
23:16:36 textures path:	c:\Source\cpp\OpenOrion\0.3.5\oorion\textures
23:16:36 fonts path:	c:\Source\cpp\OpenOrion\0.3.5\oorion\fonts
23:16:36 objects path:	c:\Source\cpp\OpenOrion\0.3.5\oorion\objects
23:16:36 scripts path:	c:\Source\cpp\OpenOrion\0.3.5\oorion\scripts
23:16:36 dialogs path:	c:\Source\cpp\OpenOrion\0.3.5\oorion\dialogs
23:16:36 Loading file: scripts/init.txt
23:16:36 Loading config: config/default.cfg
23:16:36 Loading texture: textures/anonya.bmp
23:16:36 Loading texture: textures/bullet.bmp
23:16:36 Loading texture: textures/powerups.bmp
23:16:36 Loading texture: textures/explosions.bmp
23:16:36 Loading texture: textures/btard.bmp
23:16:37 Loading texture: textures/heart.bmp
23:16:37 Loading texture: textures/ammo.bmp
23:16:37 Loading texture: textures/score.bmp
23:16:37 Loading texture: textures/tiles.bmp
23:16:37 Loading texture: textures/btard_face.bmp
23:16:37 Loading texture: textures/anonya_face.bmp
23:16:37 Loading texture: textures/anonya_figure.bmp
23:16:37 Loading texture: textures/unyl_tan_figure.bmp
23:16:37 Loading texture: textures/shadow.bmp
23:16:37 Loading texture: textures/slowpoke.bmp
23:16:37 Loading resource: objects/anonya.txt
23:16:37 Loading resource: objects/bullet.txt
23:16:37 Loading resource: objects/btard.txt
23:16:37 Loading resource: objects/pwr_health.txt
23:16:37 Loading resource: objects/pwr_ammo.txt
23:16:37 Loading resource: objects/pwr_score.txt
23:16:37 Loading resource: objects/explosion.txt
23:16:37 Loading resource: objects/tile_floor.txt
23:16:37 Loading resource: objects/tile_wall.txt
23:16:37 Loading resource: objects/tile_wall_1.txt
23:16:37 Loading resource: objects/tile_column_1.txt
23:16:37 Loading resource: objects/tile_wall_main.txt
23:16:37 Loading resource: objects/tile_wall_2.txt
23:16:37 Loading resource: objects/tile_wall_lamp.txt
23:16:37 Loading resource: objects/tile_wall_up.txt
23:16:37 Loading resource: objects/anonya_face.txt
23:16:37 Loading resource: objects/btard_face.txt
23:16:37 Loading resource: objects/anonya_figure.txt
23:16:37 Loading resource: objects/unyl_tan_figure.txt
23:16:37 Loading resource: objects/shadow.txt
23:16:37 Loading resource: objects/slowpoke.txt
23:16:37 Loading dialog: dialogs/dialog1.txt
23:16:37 Loading font: Courier New
23:16:37 Loading sound: sounds/iie_lab.it
23:16:37 Loading sound: sounds/iie_boss.it
23:16:37 Loading sound: sounds/iie_street.it
23:16:37 Loading file: scripts/menu_main.txt
23:16:37 Loading file: scripts/choose_hero.txt
23:16:38 Loading file: levels\level1.txt
23:16:55 Finished logging
