23:40:38 Log started
23:40:38 appl. path:	c:\Source\cpp\OpenOrion\0.3.8
23:40:38 log path:	c:\Source\cpp\OpenOrion\0.3.8\log
23:40:38 config path:	c:\Source\cpp\OpenOrion\0.3.8\config
23:40:38 textures path:	c:\Source\cpp\OpenOrion\0.3.8\textures
23:40:38 fonts path:	c:\Source\cpp\OpenOrion\0.3.8\fonts
23:40:38 objects path:	c:\Source\cpp\OpenOrion\0.3.8\objects
23:40:38 scripts path:	c:\Source\cpp\OpenOrion\0.3.8\scripts
23:40:38 dialogs path:	c:\Source\cpp\OpenOrion\0.3.8\dialogs
23:40:38 Checking for required OpenGL-extensions...
23:40:38 Loading file: scripts/init.txt
23:40:38 Loading string: LoadConfig("config/default.cfg");
23:40:38 Loading config: "config/default.cfg"
23:40:38 Loading string: Init(gui);
23:40:38 Loading string: LoadTexture("textures/particle.bmp");
23:40:38 Loading texture: "textures/particle.bmp"
23:40:38 Loading string: LoadTexture("textures/ammo.bmp");
23:40:38 Loading texture: "textures/ammo.bmp"
23:40:38 Loading string: LoadTexture("textures/btard_xs.bmp");
23:40:38 Loading texture: "textures/btard_xs.bmp"
23:40:38 Loading string: LoadTexture("textures/bullet.bmp");
23:40:38 Loading texture: "textures/bullet.bmp"
23:40:38 Loading string: LoadTexture("textures/bump.bmp");
23:40:38 Loading texture: "textures/bump.bmp"
23:40:38 Loading string: LoadTexture("textures/explosions.bmp");
23:40:38 Loading texture: "textures/explosions.bmp"
23:40:38 Loading string: LoadTexture("textures/fail_screen.bmp");
23:40:38 Loading texture: "textures/fail_screen.bmp"
23:40:38 Loading string: LoadTexture("textures/heart.bmp");
23:40:38 Loading texture: "textures/heart.bmp"
23:40:38 Loading string: LoadTexture("textures/logo-cold.bmp");
23:40:38 Loading texture: "textures/logo-cold.bmp"
23:40:39 Loading string: LoadTexture("textures/main_menu-bkg.bmp");
23:40:39 Loading texture: "textures/main_menu-bkg.bmp"
23:40:39 Loading string: LoadTexture("textures/menu-bkg.bmp");
23:40:39 Loading texture: "textures/menu-bkg.bmp"
23:40:39 Loading string: LoadTexture("textures/powerups.bmp");
23:40:39 Loading texture: "textures/powerups.bmp"
23:40:39 Loading string: LoadTexture("textures/score.bmp");
23:40:39 Loading texture: "textures/score.bmp"
23:40:39 Loading string: LoadTexture("textures/shadow.bmp");
23:40:39 Loading texture: "textures/shadow.bmp"
23:40:39 Loading string: LoadTexture("textures/sharoebina_xs.bmp");
23:40:39 Loading texture: "textures/sharoebina_xs.bmp"
23:40:39 Loading string: LoadTexture("textures/slowpoke_projectile_xs.bmp");
23:40:39 Loading texture: "textures/slowpoke_projectile_xs.bmp"
23:40:39 Loading string: LoadTexture("textures/slowpoke_sprite_xs.bmp");
23:40:39 Loading texture: "textures/slowpoke_sprite_xs.bmp"
23:40:39 Loading string: LoadTexture("textures/snowman1.bmp");
23:40:39 Loading texture: "textures/snowman1.bmp"
